town,page,url,property_type,price,address,postal_code,city,bedrooms,bedroom1_surface,bedroom2_surface,bathrooms,toilets,surface_livable,terrace,terrace_surface,terrace_orientation,floor,year_built,condition,kitchen_equipment,cellar,glazing_type,elevator,entry_phone,epc_score,epc_total,epc_valid_until 
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc87552,Apartment,590 000 €,Avenue Louise 112 1000 Brussels,112,Brussels,3,14 m²,14 m²,1,1,127 m²,Yes,3 m²,South,5,1950,Excellent,Super equipped,Yes,Double glass,Yes,Yes,159 kWh/m²/year,20186 kWh/year,26/09/2032
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc87593,Apartment,235 000 €,Chaussée d'Anvers 340 1000 Brussels,340,Brussels,1,19 m²,10 m²,1,1,92 m²,,,,0,1910,To renovate,Partially equipped,Yes,Double glass,No,,416 kWh/m²/year,38072 kWh/year,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88185,Apartment,375 000 €,Rue de l'Etuve 30 1000 Brussels,30,Brussels,2,16 m²,8 m²,1,1,83 m²,Yes,3 m²,,4,1933,Normal,Super equipped,Yes,Double glass,Yes,Yes,647 kWh/m²/year,,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88231,Apartment,315 000 €,1000 Brussels,1000,Brussels,1,,,1,,100 m²,,,,3,,,,No,,,,228 kWh/m²/year,,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88234,Apartment,280 000 €,Rue de la Senne 114 61 1000 Brussels,114,Brussels,2,14 m²,9 m²,1,1,74 m²,,,,6,2000,Normal,Partially equipped,Yes,Double glass,Yes,Yes,91 kWh/m²/year,,31/10/2028
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88268,Apartment,185 000 €,Avenue de la Reine 219 5 (3G) 1000 Brussels,219,Brussels,1,,,1,,71 m²,,,,3,,To be renovated,,No,Double glass,Yes,,124 kWh/m²/year,8848 kWh/year,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88269,Apartment,189 000 €,Avenue de la Reine 219 6 (3D) 1000 Brussels,219,Brussels,1,,,1,,70 m²,,,,3,,To renovate,,No,Double glass,Yes,,119 kWh/m²/year,8326 kWh/year,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88356,Apartment,940 000 €,1000 Brussels,1000,Brussels,3,,,1,2,315 m²,Yes,30 m²,,1,1896,,,No,,Yes,,249 kWh/m²/year,,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88411,Apartment,369 000 €,Rue Gaucheret 6B 1000 Brussels,1000,Brussels,3,15 m²,10 m²,2,,125 m²,Yes,,,2,2012,Excellent,,No,Double glass,Yes,Yes,110 kWh/m²/year,,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc87506,Apartment,Make offer from 239 000 €,Place Joseph Benoît Willems 19 1020 Laken,19,Laken,3,15 m²,13 m²,1,1,94 m²,,,,2,1959,Normal,Super equipped,Yes,Double glass,Yes,,258 kWh/m²/year,24286 kWh/year,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc88182,Apartment,Make offer from 250 000 €,Avenue des Pagodes 392 1020 Laken,392,Laken,2,13 m²,14 m²,1,,85 m²,,,,4,1960,Normal,,Yes,,Yes,Yes,,,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc88410,Apartment,210 000 €,1020 Laken,1020,Laken,2,15 m²,8 m²,1,1,80 m²,Yes,4 m²,,11,,Normal,,No,Double glass,,Yes,120 kWh/m²/year,,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/vbc88401,Apartment,210 000 €,Rue des Prés Communs 65 11 1120 Neder-Over-Heembeek,65,Neder-Over-Heembeek,1,14 m²,,1,1,50 m²,Yes,17 m²,,0,2021,,Super equipped,Yes,Double glass,Yes,,38 kWh/m²/year,,26/04/2034
brussel,7,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbc87988,Duplex,485 000 €,1000 Brussels,1000,Brussels,3,15 m²,15 m²,2,2,140 m²,,,,1,1924,Normal,Super equipped,,Double glass,No,Yes,226 kWh/m²/year,31567 kWh/year,11/07/2033
brussel,7,https://immovlan.be/en/detail/penthouse/for-sale/1000/brussels/vbc88102,Penthouse,Make offer from 270 000 €,Rue Antoine Dansaert 163 1000 Brussels,163,Brussels,3,16 m²,15 m²,2,2,140 m²,Yes,27 m²,,5,1900,To be renovated,Partially equipped,,,No,,394 kWh/m²/year,,
brussel,7,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc88173,Residence,799 500 €,Rue Haute 62 1000 Brussels,62,Brussels,5,,,3,5,332 m²,Yes,,,,1850,To be renovated,Partially equipped,No,,No,,215 kWh/m²/year,,
brussel,7,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc88362,Residence,849 000 €,1000 Brussels,1000,Brussels,6,,,,4,300 m²,,,,,1900,,,No,,No,,172 kWh/m²/year,,27/09/2034
brussel,7,https://immovlan.be/en/detail/residence/for-sale/1020/laken/rbt67973,Residence,395 000 €,Alfred Stevensstraat 45 1020 Laken,45,Laken,4,,,1,,170 m²,,,,,1932,Normal,,Yes,Double glass,No,,530 kWh/m²/year,,10/06/2035
brussel,7,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbc88422,Studio,225 000 €,Rue du Bailli 31 1000 Brussels,31,Brussels,1,,,1,,40 m²,,,,2,1968,Normal,Partially equipped,Yes,Double glass,Yes,Yes,166 kWh/m²/year,6643 kWh/year,25/08/2027
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbt64229,Apartment,315 000 €,Helihavenlaan 84 1 1000 Brussels,84,Brussels,2,,,1,2,81 m²,Yes,,,,2016,,Fully equipped,No,Double glass,No,,195 kWh/m²/year,,
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbt64736,Apartment,237 500 €,KRUIDTUINLAAN 3 H7 1000 Brussels,3,Brussels,1,,,1,1,47 m²,Yes,2 m²,,7,2010,Normal,,No,,Yes,,257 kWh/m²/year,,
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rwc39833,Apartment,193 000 €,Rue du Marché aux Poulets 52 1000 Brussels,52,Brussels,1,,,1,,55 m²,,,,,2012,Normal,,,Double glass,,,,,
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc67932,Apartment,275 000 €,Rue du Finistère 4 1000 Brussels,4,Brussels,2,,,,2,76 m²,,,,3,2012,Normal,,No,,Yes,,119 kWh/m²/year,,
